Date,AAPL,ADBE,ADI,ADP,AMAT,AMD,BKR,CDNS,COST,CPRT,CSCO,CSX,GILD,HON,IDXX,INTC,INTU,KLAC,LIN,LRCX,MCHP,MNST,MSFT,MU,ODFL,ORLY,PAYX,PEP,QCOM,REGN,ROP,ROST,SBUX,SNPS,TXN,VRTX,XEL
2011-01-13,10.348076,33.38,26.762524,29.636318,11.200183,8.26,29.58719,8.58,51.35116,2.35125,13.566331,5.8908343,13.081212,35.216114,34.25,14.210297,40.7175,2.2988763,69.627495,4.2789207,12.387161,4.429167,21.410831,9.3920145,7.0337377,3.780667,19.268152,41.909283,34.96208,32.551147,68.720726,13.682148,12.118329,26.44,22.216656,38.55,13.960636
2011-01-14,10.431896,33.79,27.29282,29.782942,12.049635,8.2,30.154026,8.82,52.003803,2.3475,13.649997,5.8857307,13.115532,35.49351,34.665,14.070127,41.262016,2.435363,69.694916,4.4733396,12.738033,4.540833,21.49438,9.4700365,7.076351,3.820667,19.400244,41.827847,35.076664,34.217384,68.83032,13.692874,12.226763,26.81,22.588259,39.42,13.972538
2011-01-18,10.197502,34.18,28.18373,29.911242,11.955253,8.1,30.012323,9.17,52.06835,2.4725,13.656433,5.8627706,13.280248,35.32578,35.275,14.070127,41.58699,2.4503987,70.03218,4.452114,12.88939,4.5825,21.767807,9.421274,7.04439,3.794,19.57437,41.696312,35.743958,35.139763,69.10432,13.677862,12.338937,27.04,23.125755,40.0,14.157095
2011-01-19,10.143323,33.91,27.60394,29.758505,11.978849,7.93,29.728891,8.89,51.68825,2.464375,13.399003,5.809195,13.091511,35.054825,35.055,14.023409,41.630928,2.4064462,69.16279,4.3001466,12.693318,4.521667,21.623503,9.138442,6.880318,3.826667,19.44828,41.276657,35.14407,33.027214,67.624855,13.883737,12.342672,26.72,22.667881,39.45,14.1154175
2011-01-20,9.958918,33.49,27.526165,29.99065,11.845141,8.02,29.612492,8.56,51.896236,2.453125,13.366829,5.760721,13.098369,35.20965,35.025,13.983355,41.43768,2.4365194,68.338356,4.2627897,12.524763,4.585,21.532358,9.362757,6.79935,3.858667,19.472296,41.276657,34.5981,33.542953,67.177376,13.952366,12.406236,26.35,22.501991,39.9,14.264253
2011-01-21,9.780499,33.27,27.413029,29.96011,11.805813,7.54,29.84531,8.51,52.190292,2.52,13.341086,5.7522144,13.105235,35.1516,35.105,13.896585,41.15664,2.41917,68.23343,4.2432632,12.545401,4.64,21.281712,9.596825,6.7801714,3.833333,19.57437,41.257862,34.53742,33.007378,67.50613,13.922336,12.413716,26.23,22.501991,40.06,14.23449
2011-01-24,10.101711,34.03,27.823126,30.253342,12.088967,7.68,29.607435,8.53,52.082714,2.49625,13.6242485,5.758168,13.14641,35.71929,35.65,14.176923,41.385002,2.4931955,68.53322,4.434287,12.789634,4.57,21.555147,9.801636,6.841964,3.816667,19.892603,41.45203,34.705948,33.096645,68.273254,14.053157,12.522148,26.75,22.99305,40.43,14.329737
2011-01-25,10.219955,33.56,27.4201,30.35721,12.088967,7.48,31.540773,8.5,51.967937,2.470625,13.862368,5.9741764,13.094941,35.72574,36.03,14.383831,40.84046,2.5255837,68.38332,4.474188,12.8377905,4.608333,21.608313,9.733365,6.8931026,3.752667,19.82656,41.19522,34.726166,33.394188,68.42848,14.166814,12.581976,26.75,22.548443,40.2,14.329737
2011-01-26,10.293294,33.52,27.497873,29.611883,12.159746,7.49,33.398197,8.56,52.082714,2.52375,13.785142,6.039656,13.609675,35.977337,36.535,14.517329,41.385002,2.5753202,68.570724,4.588803,12.875631,4.666667,21.858957,9.704107,6.9612885,3.799333,19.700468,41.251595,34.955326,34.187634,69.39651,14.265463,12.3651085,26.88,22.774057,39.75,14.258302
2011-01-27,10.274134,33.85,27.702925,29.727959,12.663128,7.75,33.742344,8.71,52.441303,2.47625,13.798012,6.031153,13.362601,36.07408,36.55,14.517329,41.551865,2.5839949,68.885506,4.3969316,13.033868,4.6375,21.927301,10.328291,7.1104445,3.848667,19.58638,41.063683,37.004387,34.584354,70.00841,14.366255,12.350149,27.48,23.067144,39.39,14.299977
2011-01-28,10.061298,32.49,27.080711,29.257526,12.40358,7.49,34.05615,8.48,51.587856,2.444375,13.469794,5.891685,13.112097,35.687046,35.43,14.32376,41.077602,2.5267386,68.10602,4.213548,12.6898775,4.595833,21.076641,10.113728,6.8590097,3.767333,19.210526,40.337116,36.22251,33.175987,69.12255,14.038147,11.864073,26.84,22.827341,39.01,14.020165
2011-01-31,10.157689,33.05,27.455462,29.26364,12.340657,7.83,34.6736,8.68,51.52329,2.453125,13.611381,6.0039396,13.170431,36.132153,35.85,14.32376,41.218124,2.5492945,69.732414,4.235622,12.545401,4.72,21.061451,10.279529,6.8547497,3.788667,19.39846,40.280746,36.48539,33.4041,70.94902,13.982381,11.7892885,27.13,22.587553,38.89,14.032079
2011-02-01,10.328621,33.51,28.049385,29.880684,12.757514,8.22,34.69383,8.77,51.94643,2.49375,13.817327,6.111943,13.211615,36.732105,36.27,14.3371105,41.780228,2.607706,71.41126,4.434287,12.793072,4.829167,21.258932,10.542853,6.9655495,3.794667,19.847046,40.74426,37.12573,33.42394,72.06316,14.068166,12.058504,27.78,23.313602,38.85,14.216629
2011-02-02,10.307366,33.43,28.113012,29.880684,12.859765,8.29,34.628044,8.83,50.813282,2.475,13.91386,6.035406,13.541047,37.035305,36.31,14.3905115,41.991016,2.6117547,71.216385,4.3850446,12.768992,4.791667,21.220957,10.620877,6.558568,3.71,19.931915,40.493702,36.391018,34.286808,72.22753,13.907325,12.039806,27.99,23.393534,38.97,14.127329
2011-02-03,10.281023,33.53,27.738285,29.984539,12.694594,8.33,34.759914,9.45,53.093967,2.486875,14.100486,5.910393,13.290543,36.880463,36.915,14.519079,42.33354,2.5961397,71.06647,4.379102,12.748357,4.7525,21.000696,10.630632,6.411546,3.766667,20.01072,40.199318,37.05833,34.425667,72.245804,14.713673,12.099634,28.0,23.306942,38.8,14.091605
2011-02-04,10.372627,33.36,28.282722,30.143389,12.969877,8.4,34.394714,9.49,53.165676,2.51,14.190593,5.927402,13.311131,36.848206,37.21,14.593117,42.509205,2.6389363,71.381294,4.4657,12.937549,4.7425,21.09183,10.776923,6.4967766,3.838667,20.162273,39.986366,37.226833,34.187634,73.04029,14.988172,12.181891,28.33,23.606688,39.46,14.079702
2011-02-07,10.533681,33.56,28.18373,30.235025,12.891224,8.33,34.72949,9.64,53.251743,2.5225,14.177715,6.012443,13.170431,36.85467,37.535,14.599853,42.851734,2.6695883,71.26887,4.5217323,12.892831,4.646667,21.41843,11.010991,6.4328527,3.849333,20.180458,39.886147,37.118984,34.118206,73.69784,14.891669,12.144351,28.3,23.486788,38.33,14.19877
2011-02-08,10.633065,33.57,28.014029,30.253342,12.710322,8.24,34.35921,9.66,53.646202,2.546875,14.15198,6.0107417,13.311131,37.0224,37.5,14.566193,43.06252,2.6719024,71.33633,4.517488,12.88251,4.639167,21.479193,11.157286,6.4498997,3.880667,20.25321,40.19307,37.81323,34.6637,74.98549,14.994606,12.433413,28.32,23.50012,38.48,14.157095
2011-02-09,10.721675,33.01,28.148378,30.045645,12.482229,8.23,33.816483,9.71,53.700138,2.545,14.184154,6.037106,13.105235,36.990128,37.52,14.445028,42.922005,2.6707444,71.02901,4.5820103,12.810274,4.589167,21.243736,10.981734,6.4051538,3.887333,20.004658,40.34965,37.887383,34.167797,75.03116,14.910971,12.384607,28.67,23.380207,38.13,14.174955
2011-02-10,10.613305,33.57,28.275652,30.290012,12.678859,8.22,34.070095,9.94,53.613853,2.553125,12.176235,6.112793,13.160139,37.074005,37.775,14.673889,44.38873,2.6701665,71.59864,4.5828605,12.947871,4.600833,20.886766,11.030499,6.539393,3.826,20.186518,39.685726,38.419865,36.191082,75.88045,15.206917,12.448426,28.79,23.44016,38.16,14.168997
2011-02-11,10.682455,33.67,28.699892,30.381647,12.592345,8.28,34.04981,10.03,53.966225,2.569375,12.034651,6.228448,13.173861,37.403004,38.355,14.646962,44.459015,2.71412,72.70038,4.581161,13.064828,4.714167,20.696884,11.04025,6.6224937,3.842,20.204702,40.005157,38.824276,35.020756,76.47405,15.391346,12.519757,28.78,23.726585,38.46,14.246396
2011-02-14,10.752208,33.86,28.982716,30.399971,12.741782,8.63,34.389645,10.11,53.692966,2.57,12.105441,6.3058386,13.232204,37.157856,38.795,14.519079,44.608315,2.7864113,72.54299,4.6176696,13.12331,4.699167,20.681692,11.362095,6.709855,3.822,20.107716,39.673195,39.208477,37.40109,77.423805,15.166172,12.606096,29.03,23.866472,38.97,14.1154175
2011-02-15,10.77376,33.94,28.989792,30.271679,12.678859,8.6,33.98387,10.22,53.455616,2.545625,12.015344,6.3049865,13.379763,37.00948,39.085,14.438298,43.721233,2.7898827,72.595436,4.5582376,13.030428,4.745833,20.597656,11.381599,6.7269025,3.846667,20.089529,40.305805,39.525272,36.806004,77.14075,15.153305,12.455938,29.16,23.959719,39.49,14.145189
2011-02-16,10.870448,34.69,28.876654,30.241142,12.859765,8.99,35.328007,10.26,53.90871,2.561875,11.9574175,6.352608,13.517024,37.11526,39.06,14.640238,44.019844,2.8234243,73.62224,4.5573897,13.147385,4.771667,20.643497,11.342591,6.7482104,3.885333,20.065285,40.061523,39.457874,37.39117,77.64299,15.308195,12.602351,29.02,24.013016,39.65,14.174955
